country,composer_or_artist
United States,John Williams
United States,Fred Ebb
United States,John Kander
United States,Dan Coates
Australia,Peter Allen
United States,Burt Bacharach
United States,Neil Hefti
United Kingdom,Willian Orbit
United States,Madonna Ciccone
United States,Diane Warren
United States,David Baerwald
United States,Kevin Gilbert
Poland,Frederic Chopin
Germany,Ludwig van Beethoven
France,Claude Debussy
Austria,Franz Schubert
Germany,Johann Sebastian Bach
Germany,Robert Schumann
Austria,Wolfgang Amadeus Mozart
Norway,Edvard Grieg
United States,Scott Joplin
Russia,Nikolay Rimsky-Korsakov
Germany,Jacques Offenbach
Hungary,Franz Liszt
Austria,Joseph Haydn
Germany,Johannes Brahms
Germany,George Frideric Handel
Russia,Alexander Scriabin
Russia,Anatol Liadov
Czech Republic,Anton Dvorak
Austria,Antoni Diabelli
Armenia,Aram Khachaturian
United Kingdom,Bee Gees
Germany,Carl Maria von Weber
Belgium,Cesar Franck
Russia,Dimitri Kabalevsky
Russia,Dmitri Shostakovitch
Italy,Domenico Scarlatti
United States,Edward MacDowell
Spain,Enrique Granados
France,Erik Satie
Germany,Felix Mendelssohn
Fance,Francois Joseph Gossec
France,Gabriel Faure
United States,Harold Arlen
Canada,Howard Shore
Spain,Isaac Albeniz
United States,James Peterik
France,Jean-Philippe Rameau
United States,Jeff Silbar
Austria,Johann Nepomuk Hummel
Austria,Johann Strauss
Ireland,John Field
France,Jules Massenet
France,Louis-Claude Daquin
Italy,Luigi Boccherini
United States,Marvin Hamlisch
France,Maurice Jarre
United Kingdom,Monty Norman
Russia,Peter I. Tchaikovsky
Russia,Serge Rachmaninoff
Russia,Sergei Prokofieff
Czech Republic,Zdenko Fibich
